army,unit_id,unit_name,weapon_name,wielders,range_in,attacks,rules_all,rules_core,rules_army_specific
Orcs,orcs_chef_de_guerre,Chef de Guerre,Heavy Lance,1,,6,AP(1);Thrust,AP(1);Thrust,
Orcs,orcs_boss_orc_noir,Boss Orc Noir,Dual Heavy Hand Weapons,1,,4,AP(1),AP(1),
Orcs,orcs_boss_des_marais,Boss des Marais,Great Weapon,1,,3,AP(2),AP(2),
Orcs,orcs_goblin_chamane,Goblin Chamane,Hand Weapon,1,,3,,,
Orcs,orcs_guerriers_orcs,Guerriers Orcs,Dual Hand Weapons,10,,2,,,
Orcs,orcs_orcs_des_marais,Orcs des Marais,Dual Hand Weapons,10,,2,,,
Orcs,orcs_brutes_orcs,Brutes Orcs,Heavy Great Weapon,1,,3,AP(3),AP(3),
Orcs,orcs_brutes_orcs,Brutes Orcs,Dual Heavy Hand Weapons,2,,4,AP(1),AP(1),
Orcs,orcs_archers_orcs,Archers Orcs,Bow,5,24,1,,,
Orcs,orcs_archers_orcs,Archers Orcs,Hand Weapon,5,,1,,,
Orcs,orcs_ecorcheur_geant_des_marais,Ecorcheur Géant des Marais,Snatching Hook,1,12,3,AP(1);Reliable;Takedown,AP(1);Reliable;Takedown,
Orcs,orcs_ecorcheur_geant_des_marais,Ecorcheur Géant des Marais,Putrid Bite,1,,8,Bane,Bane,
Orcs,orcs_ecorcheur_geant_des_marais,Ecorcheur Géant des Marais,Stomp,1,,4,AP(1),AP(1),
